from	to	relation	status	method	reviewer	note
acat/arts	wd/Q735	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/literature	wd/Q8242	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'literature' (293 sitelinks)
acat/poetry	wd/Q482	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'poetry' (246 sitelinks)
acat/prose-fiction	wd/Q8253	broadMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/epic-and-oral-literature	wd/Q986539	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/essays-and-nonfiction	wd/Q20669574	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/childrens-literature	wd/Q131539	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/comics-and-graphic-narrative	wd/Q1004	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/literary-theory	wd/Q58854	closeMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'literary criticism' (81 sitelinks)
acat/music	wd/Q638	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'music' (322 sitelinks)
acat/music-theory	wd/Q193544	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/musical-instruments	wd/Q34379	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/art-music-traditions	wd/Q1583807	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/folk-and-traditional-music	wd/Q43343	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/popular-music	wd/Q373342	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'popular music' (50 sitelinks)
acat/sacred-music	wd/Q1065742	closeMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'religious music' (36 sitelinks)
acat/ethnomusicology			unmatched	sparql-label+review	claude (AI agent, session 2026-09-25)	no Wikidata item judged equivalent in review
acat/visual-arts	wd/Q36649	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'visual arts' (122 sitelinks)
acat/painting	wd/Q11629	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'painting' (216 sitelinks)
acat/drawing-and-printmaking	wd/Q271588	narrowMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/sculpture	wd/Q860861	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
