code	broader	label	alt	scope_note	related	facets	notation	when
thought		Thought & Knowledge	knowledge|formal sciences	Systematic reasoning and knowing: philosophy, logic, mathematics, the methods of science, other knowledge systems, and the organization of information.	belief|matter|language
philosophy	thought	Philosophy		Fundamental questions about existence, knowledge, value, reason, mind and language, in every tradition.
metaphysics	philosophy	Metaphysics	ontology	Being and reality: existence, causation, time, identity, possibility.
epistemology	philosophy	Epistemology	theory of knowledge	Knowledge, belief, justification and evidence.	scientific-method
ethics	philosophy	Ethics	moral philosophy	Right and wrong, good and bad, duty, virtue and the good life.	humanism
applied-ethics	ethics	Applied ethics	bioethics	Ethics applied to particular fields: bioethics, environmental ethics, business ethics, the ethics of technology.	artificial-intelligence
aesthetics	philosophy|arts	Aesthetics	philosophy of art	Beauty, taste and the nature and value of art.	literary-theory
political-philosophy	philosophy|politics	Political philosophy		Justice, legitimacy, liberty, rights and the purposes of government.	political-ideologies
philosophy-of-mind	philosophy|mind	Philosophy of mind		The nature of mind and consciousness and their relation to the body.	consciousness
philosophy-of-language	philosophy|language	Philosophy of language		Meaning, reference and truth in language.	semantics-and-pragmatics
philosophy-of-science	philosophy|science	Philosophy of science		What science is, how it explains, and what justifies its claims.
philosophical-traditions	philosophy	Philosophical traditions		The world's philosophical traditions, listed as equal siblings in alphabetical order.
african-philosophy	philosophical-traditions	African philosophy		Philosophy of African peoples and the African diaspora, from oral wisdom traditions to academic philosophy.		space/m49-002
buddhist-philosophy	philosophical-traditions	Buddhist philosophy		Philosophical traditions within Buddhism: Abhidharma, Madhyamaka, Yogācāra, pramāṇa and others.	buddhism
chinese-philosophy	philosophical-traditions	Chinese philosophy		Philosophy in China, including Confucian, Daoist, Mohist, Legalist and Neo-Confucian thought.	confucianism|taoism	space/m49-030
indian-philosophy	philosophical-traditions	Indian philosophy	darshanas	Philosophy of the Indian subcontinent, including Nyāya, Vaiśeṣika, Sāṃkhya, Yoga, Mīmāṃsā, Vedānta, Jain and Buddhist schools and Cārvāka.	hinduism|jainism	space/m49-034
indigenous-philosophies	philosophical-traditions	Indigenous philosophies		Philosophical thought of Indigenous peoples of the Americas, Oceania, Africa, Asia and the Arctic.	indigenous-peoples|traditional-knowledge
islamic-philosophy	philosophical-traditions	Islamic philosophy	falsafa|kalam	Philosophy developed in the Islamic world, including falsafa and kalam, written in Arabic, Persian, Ottoman Turkish and other languages.	islam
japanese-philosophy	philosophical-traditions	Japanese philosophy		Philosophy in Japan, from Buddhist and Confucian thought to the Kyoto School.		space/m49-030
jewish-philosophy	philosophical-traditions	Jewish philosophy		Philosophy developed within Jewish tradition.	judaism
