id	title	publisher	perspective	domains	kind	languages	format	url	bytes	license	license_url	access	update	checksum_url	homepage	verified	recommend	notes
wikidata-json-all	Wikidata JSON dump, all entities (latest)	Wikimedia Foundation (Wikidata)	Wikidata volunteer community and bots (global, multilingual; coverage and references skewed toward European languages, well-documented regions and bulk imports)	acat/arts;acat/belief;acat/earth;acat/everyday;acat/health;acat/language;acat/life;acat/matter;acat/mind;acat/past;acat/society;acat/technology;acat/thought	knowledge-graph	637	json	https://dumps.wikimedia.org/wikidatawiki/entities/latest-all.json.bz2	103222517992	CC0 1.0 (structured data in the main, Property, Lexeme and EntitySchema namespaces)	https://www.wikidata.org/wiki/Wikidata:Database_download	open	weekly ('The dumps are being created on a weekly basis')	https://dumps.wikimedia.org/wikidatawiki/entities/20260921/wikidata-20260922-sha1sums.txt	https://www.wikidata.org/wiki/Wikidata:Database_download	HEAD 200 2026-09-25	no	latest-all.json.bz2 is today wikidata-20260922-all.json.bz2 in dated dir 20260921/ (Last-Modified 2026-09-24; sha1 c5bfd59f16c6cdf906ead1190d99729108e961be); the .gz variant is 156,251,408,231 bytes and decompresses faster. One JSON array with one entity per line: strip the leading '[' / trailing ']' lines and the trailing comma of each line. Per entity: labels/descriptions/aliases keyed by language code; claims with rank, qualifiers, references and snak types (same shape acat already parses from Special:EntityData); hierarchy via P31/P279/P361; crosswalks via external-id claims (e.g. P1036 DDC, P1149 LCC, P1190 UDC, P244 LCNAF, P10283 OpenAlex); sitelinks give Wikipedia titles per edition. languages = term languages Wikidata accepts (API wbcontentlanguages, context=term, 637 on 2026-09-25). A large share of items are scholarly articles (P31 Q13442814); filter by class before loading. Dated dirs are pruned after about 6 weeks; the latest alias moves weekly. dumps.wikimedia.org enforces the WMF User-Agent policy and caps downloads at 3 connections per IP (dumps homepage, 2026-09-25).
wikidata-truthy-nt	Wikidata truthy N-Triples dump (best-rank statements, latest)	Wikimedia Foundation (Wikidata)	Wikidata volunteer community and bots (global); only the best-ranked value per property, so contested and deprecated statements are invisible	acat/arts;acat/belief;acat/earth;acat/everyday;acat/health;acat/language;acat/life;acat/matter;acat/mind;acat/past;acat/society;acat/technology;acat/thought	knowledge-graph	637	rdf-nt	https://dumps.wikimedia.org/wikidatawiki/entities/latest-truthy.nt.bz2	43458740693	CC0 1.0 (structured data in the main, Property, Lexeme and EntitySchema namespaces)	https://www.wikidata.org/wiki/Wikidata:Database_download	open	weekly (dated runs in the entities listing; files still carry a -BETA suffix)	https://dumps.wikimedia.org/wikidatawiki/entities/20260916/wikidata-20260916-sha1sums.txt	https://www.wikidata.org/wiki/Wikidata:Database_download	HEAD 200 2026-09-25	no	Today = wikidata-20260916-truthy-BETA.nt.bz2 (Last-Modified 2026-09-18; sha1 32302cfd0a8d02f52c53718b89f72564d049c143); .gz is 71,568,239,134 bytes. Only wdt:/wdtn: triples of best-rank statements: no qualifiers, references, ranks, statement ids or deprecated values, so it cannot feed acat's attributed claim table (use wikidata-json-all or EntityData for claims). Every label is emitted three times (rdfs:label, skos:prefLabel, schema:name): keep one; schema:description; skos:altLabel for aliases; hierarchy wdt:P31 / wdt:P279; Wikipedia sitelinks as schema:about triples. Line-oriented and streamable with a plain N-Triples reader. dumps.wikimedia.org enforces the WMF User-Agent policy and caps downloads at 3 connections per IP (dumps homepage, 2026-09-25).
wikidata-lexemes	Wikidata lexemes JSON dump (latest)	Wikimedia Foundation (Wikidata)	Wikidata lexicographical community (global volunteers); coverage very uneven, with a few languages carried by bulk imports	acat/language	lexicon	1569	json	https://dumps.wikimedia.org/wikidatawiki/entities/latest-lexemes.json.bz2	475051424	CC0 1.0 (structured data in the main, Property, Lexeme and EntitySchema namespaces)	https://www.wikidata.org/wiki/Wikidata:Database_download	open	weekly	https://dumps.wikimedia.org/wikidatawiki/entities/20260923/wikidata-20260923-sha1sums.txt	https://www.wikidata.org/wiki/Wikidata:Lexicographical_data	HEAD 200 2026-09-25	yes	Today = wikidata-20260923-lexemes.json.bz2 (sha1 447f0afc9bd9098db55750c4d1d2ffe22da8a1f0); .gz 644,771,563 bytes; RDF variants latest-lexemes.nt.bz2 (1,162,140,892) and .ttl.bz2 (671,197,478). Same one-entity-per-line JSON array as the full dump. Each L-entity: lemmas keyed by spelling-variant code, language (Q-item), lexicalCategory (Q-item), forms (representations + grammaticalFeatures), senses (glosses keyed by language) with claims: P5137 'item for this sense' links a sense to a Q-item (the bridge to acat's wd/ crosswalk), P5972 translation, P2888 exact match. languages = distinct dct:language items over 1,675,264 lexemes (WDQS query, 2026-09-25); lemma and gloss language codes are fewer (184 lemma codes and 103 gloss codes in the first 5,995 lexemes). dumps.wikimedia.org enforces the WMF User-Agent policy and caps downloads at 3 connections per IP (dumps homepage, 2026-09-25).
wikipedia-cirrus-en	English Wikipedia CirrusSearch content-index dump (weekly, 66 shards)	Wikimedia Foundation (Search Platform)	English Wikipedia editors (global volunteers writing in English; coverage skewed to North America and Europe, and by gender)	acat/arts;acat/belief;acat/earth;acat/everyday;acat/health;acat/language;acat/life;acat/matter;acat/mind;acat/past;acat/society;acat/technology;acat/thought	text	1	jsonl	https://dumps.wikimedia.org/other/cirrus_search_index/20260920/index_name=enwiki_content/enwiki_content-20260920-00000.json.bz2	41721421896	CC BY-SA 4.0 and GFDL (Wikipedia text)	https://dumps.wikimedia.org/legal.html	open	weekly (Sunday runs; published about 12 hours after start)		https://dumps.wikimedia.org/other/cirrus_search_index/	HEAD 200 2026-09-25	no	bytes = sum of the 66 shards 00000-00065 in the 20260920 listing (shard 00000 alone is 632,022,740). Pattern: https://dumps.wikimedia.org/other/cirrus_search_index/{YYYYMMDD}/index_name={wiki}_content/{wiki}_content-{YYYYMMDD}-{NNNNN}.json.bz2; a dir is complete when it holds _SUCCESS; no checksums; 4 weekly runs are kept. OpenSearch bulk format: {"index":{"_id":...}} lines alternate with document lines. Useful fields: page_id, title, wikibase_item (Q-id; missing on some pages), opening_text (plain-text lead: the natural 'intro' field), text, source_text (wikitext), category, outgoing_link, heading, popularity_score, create_timestamp, weighted_tags; docs with page_type=redirect and redirect_target are redirects (skip, or keep as alias labels). The old other/cirrussearch/ path is deprecated (DEPRECATED.txt, last run 20251229). dumps.wikimedia.org enforces the WMF User-Agent policy and caps downloads at 3 connections per IP (dumps homepage, 2026-09-25).
wikipedia-cirrus-tr	Turkish Wikipedia CirrusSearch content-index dump (weekly, 3 shards)	Wikimedia Foundation (Search Platform)	Turkish Wikipedia editors (volunteers, Turkey-centred readership and sources)	acat/arts;acat/belief;acat/earth;acat/everyday;acat/health;acat/language;acat/life;acat/matter;acat/mind;acat/past;acat/society;acat/technology;acat/thought	text	1	jsonl	https://dumps.wikimedia.org/other/cirrus_search_index/20260920/index_name=trwiki_content/trwiki_content-20260920-00000.json.bz2	2090624260	CC BY-SA 4.0 and GFDL (Wikipedia text)	https://dumps.wikimedia.org/legal.html	open	weekly (Sunday runs)		https://dumps.wikimedia.org/other/cirrus_search_index/	HEAD 200 2026-09-25	no	bytes = sum of shards 00000-00002 (about 695 MB each). Large for the edition's size because every doc carries both text and source_text; a lean import keeps page_id, title, wikibase_item, opening_text, category. Pattern: https://dumps.wikimedia.org/other/cirrus_search_index/{YYYYMMDD}/index_name={wiki}_content/{wiki}_content-{YYYYMMDD}-{NNNNN}.json.bz2; a dir is complete when it holds _SUCCESS; no checksums; 4 weekly runs are kept. OpenSearch bulk format: {"index":{"_id":...}} lines alternate with document lines. Useful fields: page_id, title, wikibase_item (Q-id; missing on some pages), opening_text (plain-text lead: the natural 'intro' field), text, source_text (wikitext), category, outgoing_link, heading, popularity_score, create_timestamp, weighted_tags; docs with page_type=redirect and redirect_target are redirects (skip, or keep as alias labels). The old other/cirrussearch/ path is deprecated (DEPRECATED.txt, last run 20251229). dumps.wikimedia.org enforces the WMF User-Agent policy and caps downloads at 3 connections per IP (dumps homepage, 2026-09-25).
wikipedia-cirrus-sw	Swahili Wikipedia CirrusSearch content-index dump (weekly, 1 shard)	Wikimedia Foundation (Search Platform)	Swahili Wikipedia editors (volunteers, East African language community; small edition)	acat/arts;acat/belief;acat/earth;acat/everyday;acat/health;acat/language;acat/life;acat/matter;acat/mind;acat/past;acat/society;acat/technology;acat/thought	text	1	jsonl	https://dumps.wikimedia.org/other/cirrus_search_index/20260920/index_name=swwiki_content/swwiki_content-20260920-00000.json.bz2	104372586	CC BY-SA 4.0 and GFDL (Wikipedia text)	https://dumps.wikimedia.org/legal.html	open	weekly (Sunday runs)		https://dumps.wikimedia.org/other/cirrus_search_index/	HEAD 200 2026-09-25	yes	Single shard. A small non-European edition: useful to test the importer and to measure coverage outside English (acat's audit). Same schema as the en/tr rows; yowiki (a still smaller edition) is 40,894,400 bytes in one shard. Pattern: https://dumps.wikimedia.org/other/cirrus_search_index/{YYYYMMDD}/index_name={wiki}_content/{wiki}_content-{YYYYMMDD}-{NNNNN}.json.bz2; a dir is complete when it holds _SUCCESS; no checksums; 4 weekly runs are kept. OpenSearch bulk format: {"index":{"_id":...}} lines alternate with document lines. Useful fields: page_id, title, wikibase_item (Q-id; missing on some pages), opening_text (plain-text lead: the natural 'intro' field), text, source_text (wikitext), category, outgoing_link, heading, popularity_score, create_timestamp, weighted_tags; docs with page_type=redirect and redirect_target are redirects (skip, or keep as alias labels). The old other/cirrussearch/ path is deprecated (DEPRECATED.txt, last run 20251229). dumps.wikimedia.org enforces the WMF User-Agent policy and caps downloads at 3 connections per IP (dumps homepage, 2026-09-25).
wikipedia-xml-en	English Wikipedia XML dump, pages-articles (legacy path)	Wikimedia Foundation	English Wikipedia editors (global volunteers writing in English; coverage skewed to North America and Europe, and by gender)	acat/arts;acat/belief;acat/earth;acat/everyday;acat/health;acat/language;acat/life;acat/matter;acat/mind;acat/past;acat/society;acat/technology;acat/thought	text	1	xml	https://dumps.wikimedia.org/enwiki/latest/enwiki-latest-pages-articles.xml.bz2	25680955982	CC BY-SA 4.0 and GFDL (Wikipedia text)	https://dumps.wikimedia.org/legal.html	open	monthly snapshots per the dumps homepage; this legacy path is deprecated	https://dumps.wikimedia.org/enwiki/latest/enwiki-latest-sha1sums.txt	https://dumps.wikimedia.org/backup-index.html	HEAD 200 2026-09-25	no	Today = enwiki-20260901-pages-articles.xml.bz2 (sha1 ad004ad84195f497f113dc1cc66b75690953fbfc); a multistream variant (26,797,495,184) plus its index allows random access. Pattern: https://dumps.wikimedia.org/{wiki}/latest/{wiki}-latest-pages-articles.xml.bz2 (trwiki 1,052,068,943; swwiki 70,176,906; yowiki 27,967,343) with {wiki}-latest-sha1sums.txt. Raw wikitext: templates are unexpanded, so prefer the Cirrus rows for plain text; get Q-ids from {wiki}-latest-page_props.sql.gz (pp_propname='wikibase_item'). Wikitech: the legacy XML infrastructure 'can no longer reliably produce the bigger wikis' and is being deprecated in favour of MediaWiki Content File Exports (see wikipedia-xml-tr). dumps.wikimedia.org enforces the WMF User-Agent policy and caps downloads at 3 connections per IP (dumps homepage, 2026-09-25).
wikipedia-xml-tr	Turkish Wikipedia MediaWiki Content File Export, current revisions (XML)	Wikimedia Foundation (Data Engineering)	Turkish Wikipedia editors (volunteers, Turkey-centred readership and sources)	acat/arts;acat/belief;acat/earth;acat/everyday;acat/health;acat/language;acat/life;acat/matter;acat/mind;acat/past;acat/society;acat/technology;acat/thought	text	1	xml	https://dumps.wikimedia.org/other/mediawiki_content_current/trwiki/2026-09-01/xml/bzip2/trwiki-2026-09-01-p6p4740808.xml.bz2	1368347402	CC BY-SA 4.0 ('This textual data is provided with a Creative Commons Attribution-Share-Alike 4.0 License')	https://dumps.wikimedia.org/other/mediawiki_content_history/readme.html	open	monthly, on the 1st of the month	https://dumps.wikimedia.org/other/mediawiki_content_current/trwiki/2026-09-01/xml/bzip2/SHA256SUMS	https://wikitech.wikimedia.org/wiki/MediaWiki_Content_File_Exports	HEAD 200 2026-09-25	no	The supported successor of the legacy XML dumps (same Special:Export XML schema). Pattern: https://dumps.wikimedia.org/other/mediawiki_content_current/{wiki}/{YYYY-MM-01}/xml/bzip2/{wiki}-{YYYY-MM-01}-p{first}p{last}.xml.bz2; read the part list from SHA256SUMS, which is only written when the export is complete (sha256 of this file 5f68af7c...). Covers current revisions of all namespaces, not only articles: filter <ns>0</ns>. enwiki 2026-09-01 is 19 parts, 46,445,603,916 bytes; swwiki one part, 79,622,957 bytes. A mediawiki_content_history dataset holds all revisions. dumps.wikimedia.org enforces the WMF User-Agent policy and caps downloads at 3 connections per IP (dumps homepage, 2026-09-25).
wikipedia-categories-en	English Wikipedia category graph (MediaWiki categories RDF dump)	Wikimedia Foundation	English Wikipedia editors' category system (editorial, English-language; mixes topical and maintenance categories)	acat/arts;acat/belief;acat/earth;acat/everyday;acat/health;acat/language;acat/life;acat/matter;acat/mind;acat/past;acat/society;acat/technology;acat/thought	taxonomy	1	rdf-ttl	https://dumps.wikimedia.org/other/categoriesrdf/20260919/enwiki-20260919-categories.ttl.gz	103476969	CC BY-SA 4.0 (stated as cc:license in the dump header)	https://dumps.wikimedia.org/legal.html	open	weekly full dump plus daily diffs (other/categoriesrdf/daily/)		https://dumps.wikimedia.org/other/categoriesrdf/	HEAD 200 2026-09-25	yes	Pattern: https://dumps.wikimedia.org/other/categoriesrdf/{YYYYMMDD}/{wiki}-{YYYYMMDD}-categories.ttl.gz (trwiki 15,122,678; swwiki 416,770 bytes). Each node: a mediawiki:Category (hidden ones also mediawiki:HiddenCategory), rdfs:label = title, mediawiki:isInCategory = parent (polyhierarchy; cycles possible), mediawiki:pages and mediawiki:subcategories counts. Category-to-category only: article membership is in the Cirrus 'category' field. Not a taxonomy in the logical sense; store as a separate scheme with broader links and never merge into ACAT. dumps.wikimedia.org enforces the WMF User-Agent policy and caps downloads at 3 connections per IP (dumps homepage, 2026-09-25).
abstract-wikipedia	Abstract Wikipedia XML dump (abstract.wikipedia.org)	Wikimedia Foundation (Abstract Wikipedia)	Wikimedia Abstract Wikipedia team and volunteers (global; project still in development)	acat/arts;acat/belief;acat/earth;acat/everyday;acat/health;acat/language;acat/life;acat/matter;acat/mind;acat/past;acat/society;acat/technology;acat/thought	text	0	xml	https://dumps.wikimedia.org/abstractwiki/latest/abstractwiki-latest-pages-articles.xml.bz2	824326	CC BY-SA 4.0 (site footer: 'Text is available under the Creative Commons Attribution-ShareAlike License')	https://abstract.wikipedia.org/wiki/Abstract_Wikipedia:Main_page	open	monthly XML dumps (dated dirs since 20260401); weekly Cirrus index abstractwiki_content	https://dumps.wikimedia.org/abstractwiki/latest/abstractwiki-latest-sha1sums.txt	https://abstract.wikipedia.org/	HEAD 200 2026-09-25	no	Status 2026-09-25: a live wiki whose main page says it is 'currently under development' and counts 2,315 abstract articles and 120 active editors; the 2026-09-01 dump (sha1 42485ee7...) holds 2,206 pages with content model 'abstractwiki', titled by QID (e.g. Q319). Page JSON: {qid, sections: {section-QID: {index, fragments: [Wikifunctions calls (Z7) ...]}}}; text exists only after evaluating Wikifunctions renderers per language, so the dump stores no natural-language text (languages=0). Watch, do not import yet.
